Platform,Ghana,Nigeria,South_Africa,Usage_Context,Primary_Age_Group,Content_Type,Marketing_Effectiveness
WhatsApp,89,87,92,Personal_Business_Customer_Service,All_Ages,Messaging_Voice_Notes,Very_High
Facebook,78,81,74,Social_Community_Business_Pages,18-45,Community_Content_Local_News,High
YouTube,72,75,83,Entertainment_Education_Music,16-35,Video_Music_Educational,Very_High
Instagram,45,52,61,Lifestyle_Fashion_Youth,18-34,Visual_Stories_Influencer,High
Twitter,25,32,48,News_Politics_Professional,25-44,Real_Time_News_Opinion,Medium
LinkedIn,18,22,35,Professional_B2B_Career,25-54,Professional_Content_Jobs,Medium
TikTok,38,42,35,Youth_Entertainment_Trends,16-24,Short_Videos_Music_Dance,High
Telegram,22,18,28,Groups_News_Privacy,18-34,Group_Communication_News,Medium
Snapchat,15,18,25,Youth_Private_Messaging,13-24,Photo_Messages_AR,Low
Pinterest,8,12,22,Lifestyle_Ideas_Inspiration,25-44,Visual_Inspiration_DIY,Low
