Platform,Usage_Percentage,Daily_Hours,Age_Group_Primary,Marketing_Effectiveness,Content_Type,Peak_Hours_CST
WeChat,95,3.2,All_Ages,Very_High,Mini_Programs_Articles,8-10PM
Douyin_TikTok,78,2.8,16-35,Very_High,Short_Videos,7-9PM
Weibo,52,1.5,18-45,High,News_Trends,12-2PM
Xiaohongshu_RedBook,45,2.1,18-35_Female,Very_High,Lifestyle_Reviews,8-11PM
Zhihu,38,1.8,25-40,Medium,Knowledge_QA,9-11PM
Bilibili,42,2.5,16-30,High,Video_Entertainment,6-10PM
Kuaishou,35,2.0,Rural_Users,Medium,Short_Videos,7-9PM
QQ,68,1.2,Under_25,Medium,Gaming_Chat,After_School
Taobao_Live,28,1.6,25-45,High,Shopping_Streams,8-10PM
DingTalk,45,2.0,Working_Adults,Low,Business_Communication,9-6PM
